"dutch","english","article","plural","example"
"huis","house","het","huizen","Het huis is heel groot."
"man","man","de","mannen","De man leest een boek."
"vrouw","woman","de","vrouwen","De vrouw werkt in de stad."
"kind","child","het","kinderen","Het kind speelt buiten."
"hond","dog","de","honden","De hond speelt in de tuin."
"kat","cat","de","katten","De kat slaapt op de bank."
"boek","book","het","boeken","Ik lees een mooi boek."
"tafel","table","de","tafels","De tafel staat in de keuken."
"stoel","chair","de","stoelen","De stoel is heel comfortabel."
"deur","door","de","deuren","Doe de deur even dicht."
"raam","window","het","ramen","Het raam is open."
"auto","car","de","auto's","De auto staat voor het huis."
"fiets","bicycle","de","fietsen","Ik ga met de fiets."
"trein","train","de","treinen","De trein vertrekt om acht uur."
"straat","street","de","straten","De straat is heel rustig."
"stad","city","de","steden","De stad is heel mooi."
"land","country","het","landen","Nederland is een klein land."
"water","water","het","wateren","Ik drink veel water."
"brood","bread","het","broden","Ik eet brood met kaas."
"kaas","cheese","de","kazen","De kaas smaakt heel lekker."
"appel","apple","de","appels","Ik eet elke dag een appel."
"melk","milk","de","melken","De melk staat in de koelkast."
"koffie","coffee","de","koffie","Ik drink elke ochtend koffie."
"thee","tea","de","thee","Wil je een kopje thee?"
"tijd","time","de","tijden","Ik heb nu geen tijd."
"dag","day","de","dagen","Het is een mooie dag."
"nacht","night","de","nachten","Ik slaap goed in de nacht."
"week","week","de","weken","Volgende week ga ik werken."
"maand","month","de","maanden","Deze maand is heel druk."
"jaar","year","het","jaren","Het jaar gaat heel snel."
"uur","hour","het","uren","Ik wacht al een uur."
"geld","money","het","gelden","Ik heb niet veel geld."
"werk","work","het","werken","Mijn werk begint om negen uur."
"school","school","de","scholen","De kinderen gaan naar school."
"vriend","friend","de","vrienden","Mijn vriend woont in Amsterdam."
"familie","family","de","families","Mijn familie is heel groot."
"moeder","mother","de","moeders","Mijn moeder kookt heel lekker."
"vader","father","de","vaders","Mijn vader werkt in de stad."
"naam","name","de","namen","Wat is jouw naam?"
"hand","hand","de","handen","Geef me je hand."
"oog","eye","het","ogen","Ik heb iets in mijn oog."
"hoofd","head","het","hoofden","Mijn hoofd doet pijn."
"woord","word","het","woorden","Ik ken dit woord niet."
"vraag","question","de","vragen","Ik heb een korte vraag."
"winkel","shop","de","winkels","De winkel is nu open."
"telefoon","telephone","de","telefoons","Mijn telefoon is bijna leeg."
